"Speaker Name","Start Time","End Time","Text"
"Unknown","00:00:00:00","00:00:06:04","On est en janvier 2012, l'acteur Nicolas Cage participe à une enchère secrète à Washington"
"Unknown","00:00:06:10","00:00:10:02","Dans la salle, il y a un cheval, il y a un chien et il y a un cerf-volant."
"Unknown","00:00:10:12","00:00:15:07","Il achète un fossile de dinosaure pour 270 000 dollars."
"Unknown","00:00:16:03","00:00:20:03","Il passe devant Leonardo DiCaprio qui voulait aussi le Fossil."
"Unknown","00:00:20:14","00:00:22:17","Mais le fossile a en fait été volé."
"Unknown","00:00:23:00","00:00:29:20","en Mongolie. Nicolas Cage devra rendre le fossile et il sera remboursé à 0%."
"Unknown","00:00:31:00","00:00:32:20","Tous les journaux en parlent."
"Unknown","00:00:33:04","00:00:35:20","Il y a même des photos qui sortent"
"Unknown","00:00:36:09","00:00:38:08","Il y a même des photos qui sortent."
"Unknown","00:00:39:16","00:00:42:00","et même des vidéos qui ont marqué l'histoire."
"Unknown","00:00:42:21","00:00:46:06","C'est fou, vrai, incroyable."
"Unknown","00:00:47:00","00:00:48:11","Abonnez-vous à la chaîne"
"Unknown","00:00:50:03","00:00:51:23","Abonnez-vous à la chaîne"
"Unknown","00:00:52:05","00:00:54:04","Abonnez-vous à la chaîne !"
"Unknown","00:00:55:08","00:00:59:01","Abonnez-vous à la chaîne, faites-nous un don sur Tipeee"
"Unknown","00:00:59:08","00:01:01:20","Et puis allez voir notre page Twitter."
"Unknown","00:01:02:10","00:01:03:18","Et enfin..."
"Unknown","00:01:04:11","00:01:07:07","Et rendez-vous sur NicolasKage.com"
"Unknown","00:01:10:06","00:01:12:14","C'est tout ? Oui, c'est tout ce que j'avais à dire."
"Unknown","00:01:14:04","00:01:15:07","C'est une très bonne journée."
"Unknown","00:01:16:12","00:01:17:18","Passez une bonne journée."
"Unknown","00:01:19:23","00:01:21:03","C'est une très bonne journée."
"Unknown","00:01:22:14","00:01:23:06","Thank you."
